variant,top_k,correlation_weight,uses_current_metadata,spearman,midband_spearman,edges
Correlation k=3,3,1.0,False,0.46929285449833386,0.501577193631988,181
Correlation k=5,5,1.0,False,0.5249166975194371,0.5110551647537948,287
Correlation k=7,7,1.0,False,0.5173343206219918,0.5135727508330248,393
Correlation k=10,10,1.0,False,0.5354017030729359,0.519822288041466,531
Correlation k=15,15,1.0,False,0.5446427249166974,0.5225768233987411,773
Hybrid k=5,5,0.76,True,0.5232876712328766,0.5157349129951869,280
Hybrid k=7,7,0.76,True,0.5250647908182153,0.5138985560903369,385
Hybrid k=10,10,0.76,True,0.5396667900777489,0.5208589411329136,537
Semantic k=7,7,0.0,True,0.5585634950018511,0.4747130692336171,392
