feature,feature_label,spearman,top10_hits,average_precision,n_topics,cutoff_year,eval_end_year,scope,scope_label
cutoff_log_count,Topic size at cutoff,-0.5466866608263483,0,0.10855093062627989,64,2011,2014,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8196847928191213,7,0.8410027472527473,66,2012,2015,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7554326270744183,7,0.8158458646616541,66,2012,2015,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7208224611209687,7,0.8130735492577597,66,2012,2015,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.547896879240163,7,0.7121717171717171,66,2012,2015,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.4813485022440247,6,0.6622694897694897,66,2012,2015,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.25356434610165957,3,0.41421315640880857,66,2012,2015,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.43705706146897355,0,0.10485728450828835,66,2012,2015,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8406846884458826,7,0.831566091954023,66,2013,2016,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7530529172320218,6,0.6534539519620164,66,2013,2016,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7240371568729779,6,0.617373877163982,66,2013,2016,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.5309884145705042,5,0.4799945600435197,66,2013,2016,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.445485857426156,4,0.44886711651278804,66,2013,2016,primary,Primary topic
raw_acceleration_1y,1-year acceleration,-0.11270222314998436,1,0.14203299883098036,66,2013,2016,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.39090273358494526,0,0.1097194713327164,66,2013,2016,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.801106356330237,7,0.7967905623787976,66,2014,2017,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7507149566851061,5,0.6725124875124877,66,2014,2017,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.726917858261142,5,0.6765601065601066,66,2014,2017,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.5554535017221586,5,0.5527165286404416,66,2014,2017,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.4453188602442335,5,0.48826090069525935,66,2014,2017,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.12067633858678635,1,0.24737019688258083,66,2014,2017,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.28865764178215436,1,0.11632017531627463,66,2014,2017,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8318597004019,7,0.7323483684774008,69,2015,2018,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7938253562294484,7,0.7586507936507936,69,2015,2018,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7671903544026307,7,0.7561428160565347,69,2015,2018,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.6915966386554623,7,0.7378256384628199,69,2015,2018,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.5388381439532336,5,0.6370161545771302,69,2015,2018,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.25703324808184147,5,0.36096468890586536,69,2015,2018,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.3526521068114487,1,0.11702608341235313,69,2015,2018,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8052607884751434,7,0.8345833333333333,72,2016,2019,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7733937873818253,6,0.49317085692085694,72,2016,2019,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7598880956974727,6,0.4781476418318523,72,2016,2019,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.6548974210560166,6,0.5122871572871573,72,2016,2019,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.6073059360730595,5,0.4862558094079833,72,2016,2019,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.06338028169014086,3,0.3232231137022261,72,2016,2019,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.3493661117074733,1,0.09574854832752404,72,2016,2019,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.7840207330618287,7,0.7708800186741362,74,2017,2020,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7565049981488337,7,0.6510606060606061,74,2017,2020,primary,Primary topic
