feature,feature_label,mean_spearman,median_spearman,mean_top10_hits,mean_n_topics
baseline_growth_3y,CLR growth baseline,0.7693462301644796,0.8052064210302721,6.611111111111111,65.72222222222223
raw_momentum_3y,Standardized 3-year momentum,0.712589853539042,0.7511469520267635,6.222222222222222,65.72222222222223
spectral_midband_momentum,Midband spectral momentum,0.6871684963445716,0.7224298089969733,6.0,65.72222222222223
spectral_emergence_score,Fixed spectral composite,0.5556099445655457,0.5516751904811608,5.277777777777778,65.72222222222223
spectral_local_momentum,Local spectral momentum,0.46559377007690717,0.46196543889449226,4.888888888888889,65.72222222222223
raw_acceleration_1y,1-year acceleration,0.0689410059088413,0.10376344388305134,2.1666666666666665,65.72222222222223
cutoff_log_count,Topic size at cutoff,-0.32945014950134355,-0.3745271096758927,0.6666666666666666,65.72222222222223
